run_id,model_id,model_variant,task,wan_task,modality,setting,protocol,case_id,prompt,prompt_hash,method,method_family,sampler_mode,sample_solver,actual_nfe,sample_steps,base_sample_steps,sample_shift,split_pairs,sample_guide_scale,base_seed,size,frame_num,reference_method,reference_nfe,low_baseline_method,output_path,schedule_json_path,stdout_log_path,stderr_log_path,runtime_json_path,status,error_message,git_commit,dirty_status
p002_human_motion_uniform8,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,uniform8,uniform,uniform,unipc,8,8,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_uniform8.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_uniform8.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_uniform8.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_uniform8.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_uniform8.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p002_human_motion_uniform10,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,uniform10,uniform,uniform,unipc,10,10,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_uniform10.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_uniform10.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_uniform10.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_uniform10.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_uniform10.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p002_human_motion_uniform20,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,uniform20,uniform,uniform,unipc,20,20,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_uniform20.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_uniform20.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_uniform20.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_uniform20.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_uniform20.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p002_human_motion_uniform30,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,uniform30,uniform,uniform,unipc,30,30,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_uniform30.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_uniform30.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_uniform30.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_uniform30.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_uniform30.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p002_human_motion_uniform40,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,uniform40,uniform,uniform,unipc,40,40,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_uniform40.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_uniform40.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_uniform40.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_uniform40.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_uniform40.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p002_human_motion_reference_uniform50,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,reference_uniform50,reference,uniform,unipc,50,50,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_reference_uniform50.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_reference_uniform50.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_reference_uniform50.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_reference_uniform50.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_reference_uniform50.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p002_human_motion_bss10,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,bss10,bss,bss,unipc,10,10,8,8,"0,-1",6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_bss10.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_bss10.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_bss10.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_bss10.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_bss10.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p002_human_motion_bss20,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,bss20,bss,bss,unipc,20,20,18,8,"0,-1",6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_bss20.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_bss20.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_bss20.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_bss20.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_bss20.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p002_human_motion_bss30,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,bss30,bss,bss,unipc,30,30,28,8,"0,-1",6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_bss30.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_bss30.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_bss30.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_bss30.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_bss30.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p002_human_motion_bss40,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p002_human_motion,A dancer in a blue jacket spins once on a quiet city sidewalk while loose fabric and hair follow the motion naturally.,90b94de9681b2ef2,bss40,bss,bss,unipc,40,40,38,8,"0,-1",6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p002_human_motion_bss40.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p002_human_motion_bss40.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p002_human_motion_bss40.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p002_human_motion_bss40.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p002_human_motion_bss40.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_uniform8,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,uniform8,uniform,uniform,unipc,8,8,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_uniform8.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_uniform8.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_uniform8.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_uniform8.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_uniform8.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_uniform10,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,uniform10,uniform,uniform,unipc,10,10,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_uniform10.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_uniform10.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_uniform10.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_uniform10.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_uniform10.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_uniform20,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,uniform20,uniform,uniform,unipc,20,20,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_uniform20.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_uniform20.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_uniform20.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_uniform20.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_uniform20.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_uniform30,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,uniform30,uniform,uniform,unipc,30,30,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_uniform30.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_uniform30.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_uniform30.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_uniform30.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_uniform30.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_uniform40,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,uniform40,uniform,uniform,unipc,40,40,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_uniform40.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_uniform40.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_uniform40.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_uniform40.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_uniform40.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_reference_uniform50,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,reference_uniform50,reference,uniform,unipc,50,50,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_reference_uniform50.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_reference_uniform50.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_reference_uniform50.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_reference_uniform50.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_reference_uniform50.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_bss10,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,bss10,bss,bss,unipc,10,10,8,8,"0,-1",6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_bss10.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_bss10.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_bss10.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_bss10.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_bss10.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_bss20,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,bss20,bss,bss,unipc,20,20,18,8,"0,-1",6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_bss20.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_bss20.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_bss20.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_bss20.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_bss20.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_bss30,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,bss30,bss,bss,unipc,30,30,28,8,"0,-1",6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_bss30.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_bss30.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_bss30.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_bss30.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_bss30.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
p003_camera_movement_bss40,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,p003_camera_movement,"A smooth forward camera move travels through a narrow greenhouse aisle, passing rows of leafy plants and glass panels.",d5318ea5c98da011,bss40,bss,bss,unipc,40,40,38,8,"0,-1",6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/p003_camera_movement_bss40.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/p003_camera_movement_bss40.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/p003_camera_movement_bss40.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/p003_camera_movement_bss40.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/p003_camera_movement_bss40.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
